
> bsc-backend@1.0.0 prestart
> npm run build


> bsc-backend@1.0.0 prebuild
> tslint -c tslint.json -p tsconfig.json --fix


> bsc-backend@1.0.0 build
> tsc


> bsc-backend@1.0.0 start
> node .


> bsc-backend@1.0.0 prestart
> npm run build


> bsc-backend@1.0.0 prebuild
> tslint -c tslint.json -p tsconfig.json --fix


POST /measurement/schuepbach 201 - - 13.831 ms
POST /measurement/schuepbach 201 - - 16.100 ms
POST /measurement/schuepbach 201 - - 16.057 ms
POST /measurement/schuepbach 201 - - 14.477 ms
POST /measurement/schuepbach 201 - - 22.377 ms
POST /measurement/schuepbach 201 - - 15.933 ms
POST /measurement/schuepbach 201 - - 15.617 ms
POST /measurement/schuepbach 201 - - 21.117 ms
POST /measurement/schuepbach 201 - - 16.170 ms
POST /measurement/schuepbach 201 - - 19.742 ms
POST /measurement/schuepbach 201 - - 14.994 ms
POST /measurement/schuepbach 201 - - 14.666 ms
POST /measurement/schuepbach 201 - - 15.854 ms
POST /measurement/schuepbach 201 - - 13.273 ms
POST /measurement/schuepbach 201 - - 16.263 ms
POST /measurement/schuepbach 201 - - 14.407 ms
POST /measurement/schuepbach 201 - - 14.536 ms
POST /measurement/schuepbach 201 - - 12.404 ms
POST /measurement/schuepbach 201 - - 14.696 ms
POST /measurement/schuepbach 201 - - 23.101 ms
POST /measurement/schuepbach 201 - - 15.044 ms
POST /measurement/schuepbach 201 - - 12.413 ms
POST /measurement/schuepbach 201 - - 22.268 ms
POST /measurement/schuepbach 201 - - 13.665 ms
POST /measurement/schuepbach 201 - - 16.923 ms
POST /measurement/schuepbach 201 - - 13.715 ms
POST /measurement/schuepbach 201 - - 13.895 ms
POST /measurement/schuepbach 201 - - 13.570 ms
POST /measurement/schuepbach 201 - - 14.240 ms
POST /measurement/schuepbach 201 - - 14.624 ms
POST /measurement/schuepbach 201 - - 14.791 ms
POST /measurement/schuepbach 201 - - 13.345 ms
POST /measurement/schuepbach 201 - - 14.652 ms
POST /measurement/schuepbach 201 - - 15.079 ms
POST /measurement/schuepbach 201 - - 14.708 ms
POST /measurement/schuepbach 201 - - 13.106 ms
POST /measurement/schuepbach 201 - - 15.596 ms
POST /measurement/schuepbach 201 - - 14.419 ms
POST /measurement/schuepbach 201 - - 15.778 ms
POST /measurement/schuepbach 201 - - 14.179 ms
POST /measurement/schuepbach 201 - - 14.673 ms
